m4fe9f669e2a0.jpg: 这张照片展示了一对年轻男女在室内亲密地依偎在一起，背景是普通的室内环境。
m4a3ca9ea1a42.jpg: 夜晚，一名戴眼镜的女子和一名男子亲密地依偎在一起，男子用手捂住女子的脸颊。
m47e10d37cfd8.jpg: 夜晚的街头，一对戴眼镜的男女正在自拍，背景是灯火通明的建筑和街道。
m86fc7a3117b0.jpg: 这张照片展示了一位在室内环境中自拍的年轻女性，她有着黑色长发，穿着浅蓝色镂空上衣，手轻触脸颊。
m9d4f6052b3a3.jpg: 一张在地铁车厢内拍摄的自拍照，一名年轻女子和一名年轻男子并肩站立，表情各异。
m51be6ed398ab.jpg: 一对年轻男女在户外亲密合影，背景中可见其他行人。
m3cb2b699b1e3.jpg: 这张照片展示了两个人在室内亲密地依偎在一起，背景是一个现代化的公共空间。
m74dbeea963b8.jpg: 这张照片展示了一对年轻男女在室内亲密地依偎在一起，背景像是一个酒店房间或休息区。
m63367588f965.jpg: 这张照片展示了两个人在室内近距离自拍，背景是简单的天花板和窗帘。
me3e56d423148.jpg: 这张照片展示了一对年轻男女在室内亲密合影，女孩做出嘟嘴表情，男孩微笑着靠在她身旁。
m7752b7eee496.jpg: 这张照片展示了一个杂乱的书桌角落，堆满了书籍、零食、饮料和一个戴着泳镜的小熊玩偶。
m448a66073c0f.jpg: 一名年轻女子在餐厅里用餐，面前摆放着火锅和意大利面等食物。
